headline,word1,word2,joke,label
医生误诊眼皮跳因脸丑,跳,眼皮,“医生，为什么我的右眼皮一直跳？” “因为你的脸太丑了，它想跳出去……”,1
宗教与道德关系探析,到来,道德,宗教不能没有道德，但道德可能在没有宗教的情况下到来。,0
少女自购迷你比基尼引关注,购买,比基尼,一个16岁的女孩给自己买了一条非常小的比基尼。,0
科学家发明后遭人群殴打,殴打,发明,在宣布他的发明之后，科学家被带到外面并被一大群人殴打。,0
评论家教人跑步引热议,教导,跑步,电影评论家就像一个无腿的人，教导跑步。,0
幼童质疑哥哥外貌系火星监视,问,丑,刚等公交车一个7.8岁的小萝莉跑过来问我:哥哥你为什么长得这么丑啊？ 你是不是火星派过来监视地球的啊? 我……,1
克劳斯夫人告知圣诞老人母亲将探访,告知,母亲,然后，克劳斯夫人告诉圣诞老人，她妈妈要去看望了。,0
读者点头微笑读清单,读,清单,你读了这整个清单，一直点头微笑。,0
体腔搜索中禁止侮辱警察,禁止,警察,在进行体腔搜索时，切勿侮辱警察。,0
富贵取决于父母,决定,富贵,生死有命，富贵在爹。,1
土豪喝烈酒去顶级医院抢救,喝,医院,要是我成有一天成了土豪，我要喝最烈的酒，去最好的医院抢救。,1
音乐考试惊吓反转，落选女生被调侃,相信,歌喉,音乐学院的考场外，一位落选的姑娘拦住了主考官问：教授先生，您难道不相信我的歌喉会有一天一鸣惊人吗？ 一定会的，小姐，当您受到惊吓或者袭击的时候。,1
老农买大钟索要小表引发热议,买,钟,老实巴交的老农在钟表买了一大座钟，付完钱对售货员说：我买了这么大的钟你应把那小小的表陪送一个才对！象人家买了的大萝卜我都要陪送小萝卜一样！,1
邻居买车竟被调侃方向盘在前,问,方向盘,老妈说楼上的邻居买了辆车，我问：“自动挡的还是手动挡的？” 老妈思考片刻：“可能是手动吧，前面有个方向盘。”,1
新衣最显瘦，旧衣全藏柜,好看,衣柜,衣服衣柜千千万，只有新买的最好看。,1
拍照时照顾好友,照顾,照片,在拍照时照顾好朋友，将照片置于最佳状态。,0
人们遵循心理路径度过生活,遵循,路径,疯狂的人通过遵循心理路径来度过生活。,0
呼吁加强白痴控制,控制,白痴,我们有足够的枪支管制。我们需要的是白痴控制。,0
女孩称人可填补生活空白,填补,空白,我遇到了这个女孩，她说我可以填补她生活中的空白。,1
生命恐惧源于未知而非毒品帮派,感到,生命,基本上我们对生命感到恐惧，但这不是因为偷渡，毒品，帮派等等。,1
丈夫揭穿妻子误认老赵有钱是细菌研究,搞,细菌,妻子：老赵家可真有钱，一张口就是几百万几千万的。 丈夫:什么有钱，人家老赵是搞细菌研究的。,1
学生体检结巴被问穿帮,结巴,讲话,一个学生正在为进入职业学校进行体检。 “请问，你常常这样结巴吗？”医生问。 “不，不，不经常，只是讲话时才，才，才这样！”,1
电线杆子也要水泥支撑,要,水泥,人要脸，树要皮，电线杆子要水泥。,1
失误带来负担,带来,负担,每一次失误都会带来一些让整体更加合身的负担。,0
程序员编程却无对象惹老爸吐槽,编程,对象,写代码，桌上总是放着一本《面向对象程序设计》，随时查阅。 老爸路过看了一眼，说：“哼，连对象都没有还编程！”,1
情侣幻想未来却惦记对方过去,惦记,过去,情侣间最矛盾的地方就是幻想彼此的未来，却惦记着对方的过去。,1
上帝不将食物扔入鸟巢,提供,食物,上帝给每只鸟提供食物，但他不会把它扔到巢里。,0
母鼠怀疑丈夫外遇遭刺猬‘揭穿’,拽住,摩丝,母老鼠怀疑老公有外遇，她跟踪老公到草丛旁。 一会儿一只刺猬钻出来。母老鼠一把拽住刺猬：死鬼，还说没外遇，擦这么多摩丝去勾引谁呀？,1
推车代驾引路人相助,推,汽车,将汽车推到目的地，节省汽油。不约而同的路人会认为你已经崩溃并提供帮助。,1
墙梁不堪承重，透风上吊成常态,上吊,梁,没有不透风的墙，没有不能上吊的梁。,1
好主意需起落架支撑,需要,起落架,一个好主意需要起落架，而不仅仅是机翼。,1
新法规催生新岗位,催生,岗位,新法规意味着新监管机构的新工作岗位。,0
集体智商滑坡事件,总是,傻瓜,没有人总是傻瓜，但有时候所有人都是傻瓜。,1
学生吐槽成绩排名无差别,教,第一名,父亲：“孩子，我最担心的是你的成绩，你总是班上最后一名。” 儿子：“没关系，爸爸。对第一名和最后一名，老师教的东西完全一样。”,1
电话公司声明：我们不在乎,不在乎,电话公司,我们不在乎。我们没有。我们是电话公司。,0
戒毒后财富增长,拥有,钱,我以前有毒品问题，但现在我有更多的钱。,0
文盲能否获得字母汤效果,获得,文盲,文盲的人会得到字母汤的全部效果吗？,0
文学与新闻的双重阅读艺术,掌握,写作,文学是写作将被阅读两次的东西的艺术; 新闻业将立即掌握什么。,0
服务员称钱假，小孩反问坦克真不真,看,坦克,服务员看了一下说：“你的钱是假的”。小孩说：“难道你的坦克是真的？”,1
部长揭秘当官与砌墙的惊人相似,和稀泥,高处,泥瓦匠出身的部长接受记者采访。 记者问：“你觉得当部长和当泥瓦匠有什么相似之处？” 部长答道：“第一，要有和稀泥的本领：第二，站在高处头不昏！”,1
高峰时间为何缓慢,被称为,高峰,为什么它被称为高峰时间，因为它非常缓慢？,0
国歌第一句引发外媒震惊,起来,国歌,据说中国队夺得冠军的时候，每次颁奖时播放中国的国歌。 外国记者都不屑一顾地坐在坐位上，不站起来… 网友神回复，他们不知道国歌的第一句是，起来，不愿做奴隶的人们…,1
商家送洗洁液致客户洗掉家具漆,洗掉,家具,卖油漆前，先免费送给客户洗洁液，客户一点都不心疼洗所有的家具，结果把家具的漆洗掉了。 客户想起恩人，生意就找上门来了。,1
男人妻子前死去欲求,想要,死去,为什么男人会在妻子面前死去？他们想要。,0
目击者描述矛盾引历史质疑,怀疑,历史,听到两个目击者对同一次事故的描述后，你开始怀疑历史。,1
科学家发现新型飞行人类,寻找,鸟人,众里寻他千百度，抬头一看，他在天上飞，鸟人一个！,1
网友调侃自杀需多树尝试,吊死,树木,不要在一棵树上吊死，在附近几棵树上多试试死几次。,1
游客姓胡反讽不幸福惹笑,回答,幸福,某姓胡夫妇去旅游，安检人员对他说：你姓胡？ 然后他回答：不，我一点也不幸福。 安检人员：我问你是不是姓胡？ 他：我不幸福啊！,1
游轮提供机舱个人游览服务,进行,机舱,您乘坐游轮，这样您就可以进行机舱的个人游览。,0
皇帝喊退下引发全场震惊,退下,朕,来人呐，都给朕退下！,1
澳大利亚迎来明天,迎来,明天,不要担心明天不会有，明天已经在澳大利亚了。,0
孩子回忆胎内生活坦言一片漆黑,看见,漆黑,妈问：“孩子，你在妈肚子里的时候看见什么了？” 孩说：“一片漆黑！” 妈说：“你怎么知道的？” 孩说：“因为我没睁眼睛！”,1
王尔德讽刺贵族用餐礼仪,共餐,礼貌,英国作家王尔德未成名时很穷，有个贵族想请他当家庭教师，给儿子补习功课，在谈到食宿条件时，那贵族问王尔德愿不愿意和他的家人共餐。王尔德回答说：那要看他们进餐时懂不懂礼貌。,1
学生误以为盐由咸菜制成,做,咸菜,课堂上在上常识课，一个学生问道：老师，甜菜有啥用处？ 甜菜可以做糖。老师回答说。 噢，我懂了！原来盐是用咸菜做的。学生说道。,1
丈夫用‘初生牛犊不怕虎’解释教育失败,怕,虎,丈夫：今后由你来教育儿子。我管他，他根本不听。 妻子：别人都怕你，难道儿子不怕？ 丈夫：我属虎，他属牛，你忘了，’初生牛犊不怕虎’嘛！,1
失眠者陷入自我思考的循环,想,睡不着,晚上失眠，翻来覆去的。 室友便好奇道：干嘛呢？ 我：睡不着…… 室友：有啥好想，蒙头便睡就是。 我：我在想我为什么睡不着。 室友：……,1
女权飞行员拒进驾驶舱时间曝光,拒绝,驾驶舱,我想知道女权主义飞行员拒绝进入驾驶舱之前会有多长时间。,0
学生误将面包版当插头,插在,面包版,甲同学答道：插在面包版上。 习实老师：……,1
孩子打碎茶杯 dad却罚球,打碎,哨子,小明和小刚的爸爸是个篮球裁判员。 一天，哥儿俩在家中玩皮球，小明不小心，把爸爸的茶杯打碎了。爸爸举手就打，小刚马上吹起了哨子：打人犯规！ 爸爸愕然。,1
地下商场营业员为何阴阳怪气,说话,商场,这里的营业员说话怎么那么阴阳怪气，一点也不热情！ 这可能跟环境有关系。 怎么？ 因为这里是地下商场。,1
通胀奇招：减半资金不损纸张,减半,纸张,通货膨胀：在不损坏纸张的情况下将资金减半。,1
名人树立坏榜样引热议,习惯,榜样,我并非完全无用......我可以习惯于树立一个坏榜样。,1
老外学国语闹笑话,打招呼,妈妈,学了点国语的老外。 早晨和女秘书打招呼：“你吗好？” 小姐瞪了他一眼，他一楞，马上又对她说：“妈，你好！”,1
寻找禁止未经授权车辆的标志,寻找,车辆,我一直在寻找这样的标志很长一段时间：仅限未经授权的车辆。,0
健康书籍或因印刷错误致死,小心,错误,阅读健康书籍要小心。你可能会因印刷错误而死。,0
洗澡水冷引杀猪叫,洗澡,惨叫,洗完出去和管调水温度的大叔来了一句：今天洗澡水好冷啊，冻死了…… 过一会听到里面传出了杀猪般的惨叫……,1
公司称上信息高速公路，客户追问在哪条,上,高速,客户：听说你们已经上了信息高速公路，有这么回事吗？ Internet技术人员：...... 是的。 客户：那你们到底在哪条高速公路上？,1
五毛凑成一块最幸福,凑成,五毛,五毛和五毛是最幸福的 因为他们凑成了一块。,1
分歧中机会增多,同意,机会,我们越不同意，我们至少有一个人是正确的机会就越多。,0
漂亮军装反致失败,穿着,军装,穿着最漂亮的军装的军队将会失败。,1
铁碗无饭何所食,吃,饭,就算碗是铁的，里边没饭你吃啥？,1
女学生胜过已婚男了解女性,了解,女性,女学生比已婚男性更了解女性，这就是为什么她们没有结婚。,1
王小二第三次喊狼来了被鬼子杀害,喊,狼,王小二第三次向村民喊道狼来了，村民并没有理会他，最后王小二被残忍的鬼子杀害了。,1
小明遇劫匪反被嘲没带武器,没有,武器,路遇劫匪，小明惊恐地说：我没有零钱。劫匪邪魅一笑：我没带武器,1
公司夜晚开会如夜总会,开会,夜总会,公司都快成夜总会了，夜晚总是要开会。,1
筷子使用为何只用两根,齐下,筷子,小勇：我们中国人吃饭为什么只用两根筷子，而不用三根或者四根呢？ 小华：俗话说双管齐下，谁听说过‘三管’或者‘四管’齐下呢？,1
儿子学开汽车骗父亲承诺,学,汽车,父亲：我答应过如果你考试及格的话，就给你买一辆汽车，可是你却考试不及格，你上学期干什么来着？ 儿子：我在学开汽车。,1
再次认识错误,认识,错误,经验 -  1.第二次认识到错误。,0
男子挑战吃下32盎司牛排,吞下,牛排,他告诉我他可以吃一顿32盎司的牛排，但我发现很难吞下。,0
舍友吃掉室友凉皮引热议,吃,凉皮,一次买凉皮回宿舍后，去别的宿舍溜了一圈，回来发现舍友在吃我的凉皮。 她们见我回来，其中一人对我说：你怎么才回来？凉皮都凉了！,1
无法忍受者更容易出错,忍受,错误,很少有人比那些不能忍受的人更容易出错。,1
时间让有些人变软有些人变硬,软化,人,为什么时间软化某些人并使其他人变硬？,1
系统如何优雅处理错误数据,接受,错误,兼容：优雅地接受来自任何来源的错误数据。,1
拍卖现场突发钱包失窃事件,出,钱包,拍卖暂时中止，拍卖师：“有位先生丢了钱包，里面有一千块钱。谁能找回，他愿意付200块。” 突然，一个声音从后面传来：“我出220块！”,1
学生误拨查询电话称问活人死人,问,活人,同学向我解释如何拨打某查询电话。 我想问问那边接电话的是真人还是语音，竟说成了：“接电话的是活人还是死人呀？”,1
地铁挤成人形，仙人球变仙人掌,捧着,仙人球,一同事每天挤地铁上班，被挤得不成人形。 另一同事支招，叫他手捧着一盆仙人球，那就没有人敢靠近了。同事照做了，结果……结果仙人球变仙人掌了。,1
体育比赛警示：禁止偷袭第二垒,保持,第二垒,你不能偷第二垒，先保持一只脚。,0
孩子用买笔换取消敲诈,敲诈,水彩笔,父亲：做事情不要总是提出交换条件，那叫敲诈，懂不懂？敲诈不是好孩子应该做的事情。 孩子：那你给我买一盒水彩笔我就不敲诈了。,1
刀具警示：远离儿童防伤事故,远离,孩子,刀上警告：小心。刀锋很锋利。远离孩子。,0
全民发声热潮涌现,说,人,从来没有这么多人对这么多人说过这么多。,0
结婚后丈夫自称无神论者,成为,无神论者,“老公，结婚前你不是常对我说，我是你的女神吗？” “老婆，现在你总该看出来，自从结婚后，我成了一个无神论者。”,1
男友月薪难cover女友羞涩提问,感觉,工资,女友羞涩地问男友：“自从咱俩认识以后，你感觉咋样？” 男友挠挠头：“我感觉每月工资都不够花……”,1
怨恨可免房租,免,租金,怨恨就像是让某人在你的房子里免租金。,1
人生两件事不会，全都会,不会,事情,我这辈子只有两件事不会，就是这也不会，那也不会。,1
怀才如怀孕，需时间才能显现,怀,才,怀才就像怀孕，时间久了才能让人看出来。,1
计算错误造成重大伤害,导致,错误,任何计算中的任何错误都将导致最大的伤害。,0
科幻小说继承遗体,留给,身体,当我死的时候，我将我的身体留给了科幻小说。,0
网友吐槽搞定后立刻忘掉存放地点,搞定了,存放,我终于把它全部搞定了，并且很快忘记了我把它放在哪里。,1
谎言竟成真话,说,谎话,我对你说的每句谎话都是真的。,1
奶奶回忆洪水年份，儿子坦言记得,追忆,洪水,饭桌上，奶奶追忆往昔。 说到洪水灾害问题，对我爸说：“你哥出生那年发好大的水，你还记得吧？” 爸爸点点头，肯定地说：“嗯，记得。”,1
个人优点被认可,认可,优点,我可能不完全完美，但有些部分非常好。,0
无鞋者相遇引深思,遇到,鞋子,我很伤心，因为我没有鞋，直到遇到一个没有脚的男人。所以我说，“你有没有鞋子？”,0
标志工人罢工，公司紧急寻替代方案,纠察,标志,当标志制造商继续罢工时，他们会怎样纠察？,1
孩子误将蓝墨水倒入鱼缸,倒,金鱼,父亲见儿子把蓝墨水倒到金鱼缸里，便问他是什么缘故。 儿子说：金鱼吃了蓝墨水会变成蓝金鱼呢。,1
人们为何痴迷某款衬衫,喜欢,衬衫,为什么人们非常喜欢这件衬衫！？我们可能永远不知道......,1
新老师怒批学生睡觉，学生反讽不懂规矩,训,规矩,一次新来的老师看到A上课睡觉在全班同学面前训了A， 老师走后倍感颜面丢尽， 为了挽回尊严A不屑的来了句：“新来的不懂规矩，过两天就好了。”,1
男孩蜕变为男人,变成,男人,当他想要留在世界上的痕迹与尾巴无关时，一个男孩就变成了男人。,0
情侣约会新方式：旅行与安静夜晚,喜欢,旅行,你的方法：告诉她你喜欢旅行，和朋友一起度过安静的夜晚。,1
自动扶梯终将演变为楼梯,成为,楼梯,自动扶梯永远不会破坏，它只能成为楼梯。,0
同学聚餐走错包间笑喷,叫不上,名字,大学同学聚会时， 发现都叫不上来名字， 不禁感慨自己当年逃课太多。 吃完发现是走错包间。,1
背诵讲师转型当停车场服务员,背诵,服务员,背诵讲师会成为一个好的停车场服务员。,1
妈妈寄剪刀却藏在包裹里,寄,剪刀,妈妈：“我把包裹寄出来了，怕你解不开绳子，我寄了剪刀给你。” 我：“剪刀放哪里了？” 妈妈：“包裹里面啊。” 我：“……”,1
妻子买自动扶梯引热议,买,扶梯,我的妻子会买任何标记下来的东西。去年她买了一台自动扶梯。,1
阿凡提送斧子化解门战,劈,斧子,阿凡提说：伙计，你既然来砸我家大门的，我索性给你一把斧子，用斧子劈门更省事！,1
90%担忧将成现实,担心,事情,令人担忧的作品！我担心的事情中有90％永远不会发生。,1
订婚到结婚，最后只剩痛苦,订婚,痛苦,首先是订婚戒指，然后是结婚戒指，然后是痛苦。,1
妈妈把孩子交爸爸处理引热议,交给,爸爸,“我爸爸可凶了，还打人， 我妈妈从来不打我。” “那你妈妈一定很疼你了。” “她只是在我不听话的时候， 把我交给爸爸处理。”,1
政府被称作更高权力,被称为,政府,我相信有更高的权力：它被称为政府。,1
司机分心反而撞到想撞的人,踩好,油门,不管是新司机还是老司机，在开车的时候都不能分心，只有全神贯注，踩好油门，才能撞到想撞的人。,1
同意和蔼可亲之人想法,同意,人,我对一个和蔼可亲的人的想法是一个同意我的人。,0
文胸工厂破产,工作,工厂,我曾经在一家文胸工厂工作，但它破产了。,0
成人生长悖论曝光：两端停止，中间生长,停止,生长,成人：一个在两端停止生长并且现在正在中间生长的人。,1
理发师夸顾客头发少,喜欢,头发,今天去理发，发型师看到我就高兴地说：“就喜欢你这样头发少到快秃的。”,1
摇马去世引人唏嘘,一直,摇马,我一直不走运。我曾经有过一匹摇马，它就死了。,1
人们不愿提问引发困惑,不愿,问题,当你知道所有的答案时，这是令人沮丧的，但没有人愿意问你这些问题。,0
伯爵获一等奖奖励美食意大利面,获得,意大利面,伯爵获得了一等奖，一年的美食意大利面酱和超长意大利面。,0
牧师应对恶魔入侵,远离,邪恶,当黑色弥撒出错时，远离邪恶的牧师。愤怒的恶魔总是为自负而奋斗。,0
步入老年需依赖假牙助听器,需要,助听器,在我可以问我离开眼镜的地方之前，我已经到了需要假牙和助听器的年龄。,0
张朝阳捐钱感谢被命名,捐赠,名字,搜狐总裁张朝阳向北京市朝阳区政府捐赠200万元人民币，以感谢该区以他的名字命名。,1
消息来源信息令人着迷,传递,信息,我的消息来源不可靠，但他们的信息令人着迷。,1
人往高处走，水往低处流,往,高处,都说人往高处走，可是高处不胜寒。水往低处流，水知低处纳百川！,1
人生路上总错步,错,步,漫漫人生路，总会错几步。,1
幼童厕所吸烟引热议,吸烟,祖国,一幼儿园的小破孩躲在厕所里吸烟，被老师抓到，老师问他为什么吸烟，他低下头，深沉的回答：祖国未统一，心情很郁闷！,1
男友送玫瑰茶被女生吐槽,喝,玫瑰茶,女：你不是说要送我玫瑰的吗？ 男：是啊，你刚才喝的就是。 女：刚才你给我喝了什么？ 男：玫瑰茶。,1
学生偷看天龙八部被班主任追问其他七部,喝道,八部,上课时，偷看武侠小说《天龙八部》。 班主任发现后，厉声喝道：“其他七部呢？都拿出来”,1
丈夫睡姿像蛤蟆引妻不满,弯向,蛤蟆,偶睡觉的时候喜欢平躺着把腿弯向两侧，往往会占很大的床铺面积，于是老婆很不满，问：你为什么睡觉像只蛤蟆？ 我答：养蝌蚪啊。,1
简化之路并不容易,简化,复杂,一切都应尽可能简单，但并不简单。,0
三胞胎父亲幽默回应重复请求,重复,要了,三胞胎的父亲打电话给亲戚报喜讯。接电话的没有听清楚，就问:“再重复一次行吗？” 得意忘形的父亲回答道：“可以是可以的，不过我不想再要了！”,1
开放心态导致宝贵想法被放弃,邀请,想法,开放的心态往往是邀请他们放弃一个有价值的想法。,1
高三早操口号引笑料，班际互怼成趣,喊,口号,高三最后一次跑早操全班同学集体喊口号:“清华北大，不在话下。剑桥哈佛，不屑一搏。” 后来，后边的班级回了一个:“星宿老仙，法力无边。”,1
铅笔擦字后去向成谜,擦掉,单词,当你用铅笔擦掉一个单词时，它会去哪里？,0
西兰花在工厂生产,生产,工厂,西兰花实际上是在安大略省萨德伯里的一家化学工厂生产的。,0
学生迟到被老师警告睡眠不足,迟到,睡眠,初中时，班上有一同学很牛，一上课就呼呼大睡，直到下课才醒来。 一天，他迟到了十分钟，数学老师看到他就说：“你不能再迟到啊，否则会睡眠不足的！”,1
士兵笑问坚持多久，元首命令到最后一个人,坚持,人,德国士兵问军官：请问中尉先生，这场战斗，我们还要在这里坚持很久吗？ 元首命令，要坚持到最后一个人。 噢，这么说，就用不了多久啦。,1
铁杵磨针失败，木杵变牙签,磨,杵,铁杵能磨成针，但木杵只能磨成牙签，材料不对，再努力也没用。,1
美军巡航导弹发射免费政策曝光,发射,导弹,美国空军：30分钟内发射的巡航导弹或下一个发射导弹是免费的..,0
网友调侃世界如牡蛎需打开,弄清,牡蛎,世界是我的牡蛎。现在我只需弄清楚如何让该死的东西开放。,1
考生答题贷款机构竟写父母引发热议,写出,父母,金融学校入学考试，其中一到题是：请写出三种能够贷款的机构。一位老师批改某考生的试卷后，哑然失笑。 那名考生的答案是：银行/信用社/父母。,1
警惕强饮引收藏迷思,警惕,饮料,警惕强烈的饮料。它可以让你向票据收藏家拍摄......而且想念。,0
士兵体检异常却通过，医生笑称不举手投降,举手,投降,阿呆入伍前体检，发现肩膀有毛病，双臂无法举过头顶。 体检医生束手无策，遂与院长商量。 院长想了想说：“体检通过吧，这样的人不用担心他举手投降啊。”,1
同事调侃跳舞费用竟引出不会跳舞的尴尬,跳舞,一块五,一天，小张和同事一起回家，同事说：跳舞吧？ 小张说：不会呀。 同事吃惊的看着小张：一块五你也嫌贵呀？,1
婚姻幸福在于给予与接受,给予,婚姻,幸福的婚姻是一个给予和接受的问题：丈夫给予和妻子采取。,0
电话服务推脱责任惹笑,接听,电话,你打电话给你的电话接听服务，他们告诉你这不关你的事。,1
监控下设备故障,发生,故障,当没有人在看时会成功，当消防官员正在观看时会发生故障。,0
丈夫欲掏心，妻子索存折,掏出来,存折,老公：“真的。我恨不得把心掏出来让你看看！” 老婆：“那倒不必。只要你能把你爸爸的存折掏出来就行了。”,1
医学院课堂突发荒诞提问：人奶比牛奶更适宜？,回答,牛奶,医学院的老师正在上课，他叫起一个同学：请你回答人奶比牛奶更适宜哺育婴儿的三个特性。 学生：恒温，不受污染。 还有呢？学生想了很久说：它便于携带。,1
百万莎士比亚能否催生猴式写作？,写作,莎士比亚,如果你有一百万莎士比亚，他们会像猴子一样写作吗？,1
埃尔维斯若活今时将刮棺材,刮伤,棺材,如果埃尔维斯现在还活着，他就会在他的棺材内部刮伤。,0
感情有过期日，人会看腻,看腻,心里,货有过期日，人有看腻时。你在我心里，能牛逼几时。,1
失发后梳子的‘经验’引发热议,失去,梳子,经验就是梳子在你失去头发后给你的东西。,1
阿凡提妙答月亮去向,切碎,星星,一天，一人问阿凡提：阿凡提，新月升上来后，旧的月亮会到哪儿去呢？ 新月升上来后，真主把旧的月亮切碎当星星。阿凡提回答。,1
丈夫买化妆品，妻子送洗衣粉,买,洗衣粉,丈夫：亲爱的，你要的化妆品，我都给你买齐了，那你也该为我买点儿什么吧！ 妻子：喔，当然，这一大袋洗衣粉就是为你买的呀！,1
网友吐槽善良成缺点,对不起,人,你这人特善良，特别是对不起人的时候。,1
男子酒店发现三人一狗玩纸牌,玩,纸牌,一名男子走进酒店的一张桌子，注意到三个男人和一个狗玩纸牌。,0
男子泼硫酸救姑娘引热议,泼,硫酸,眼看色狼就要得手， 我急中生智掏出一瓶浓硫 酸泼到姑娘脸上解救了她。,1
阿联被调侃为公牛儿子,说起,公牛,寝室闲聊NBA，忽然想起阿联。我寝一位不太了解NBA，他问：“阿联在哪个队？” 这时，我们上铺一老兄大声说：“公牛的儿子！”,1
谎言与誓言的真相差异曝光,当真,誓言,谎言与誓言的区别在于：一个是听的人当真了，一个是说的人当真了。,1
情侣互怼婚姻是爱情坟墓反转,托住,结婚,最近mm托住我要结婚。 我不理解，说：现在不是挺好的吗？婚姻是爱情的坟墓啊！ mm急了，愣了半天，说……我不想让我们的爱情死无葬身之地。,1
同学考试看完了竟说‘我看，完了！’,看,完了,小华：考试准备得如何了？ 小明：我看完了！ 小华：这么强，全看完了？ 小明：不，我是说：‘我看，完了！’,1
小孩夸鱼好吃却吐槽有刺,吃,鱼,小童在姑姑家吃饭，姑姑做了鱼给他吃。 小童边吃边说：这鱼真好吃，要是不放刺就更好了！,1
女子排队抱同款睡衣引关注,抱着,睡衣,在排队等候，我注意到一个年轻女子身后抱着同样的睡衣。,0
网友吐槽没人牵手只好揣兜里,揣,手,没人牵我的手，我就揣兜里。,1
6件装无塑料固定,固定,塑料,他有一个完整的6件装，但没有塑料东西把它固定在一起。,0
孩子误用听诊器问麦当劳,对着,听诊器,医生高兴地想：“儿子对听诊器这么感兴趣，将来一定能继承父业，有出息！” 这时候，小家伙对着听诊器说：“这里是麦当劳吗？”,1
关系恶化，人越疏远,越远,关系,有人越好，他离你越来越远了。,0
布什与国家分离引热议,分离,国家,我们真正可以使用的是布什和国家的分离。,1
太阳总照驾驶座引发车主热议,总是,驾驶座,无论您在夏天将车停在哪里，太阳总是照在驾驶座上。,1
棉球打开首现被弃,打开,棉球,当你打开一袋棉球时，第一个是扔掉的吗？,0
丈夫洗澡时妻子私奔,洗澡,私奔,甲：我妻子和别人私奔了！ 乙：什么时候？ 甲：前天在我洗澡的时候！ 乙：啊，她一定等了很久才得到这次的机会。,1
学生课堂开玩笑了,发源,汗水,上地理课时，小明思想开了小差。老师问他：长江第一支流汉水发源于哪里？ 小明急得头上直冒汗，得了启示，答道：汗水发源于头上。,1
新婚姻法改坑丈母娘 男女成建行员工,改,丈母娘,"新婚姻法：买房不坑爹 改坑丈母娘：网友称,以后男女都是建设银行。",1
营业员调侃送貂皮大衣成意外之喜,给,大衣,营业员回答：“是给你妻子一个小小的意外之喜吗？” 我说：“是的，她一直想要一件貂皮大衣。”,1
情侣相处两大镇静语录曝光,买吧,安静,跟女朋友处了一年了，终于领悟，有两句话， 我只要随便挑一句，就能让女友安静下来。 第一句是:“你是对的。” 第二句:“买吧”,1
外甥用端午造句惊醒舅舅,造,端午,小外甥把舅舅推醒问：“舅，帮我用端午造个句子呗...” “造你个头啊！好端端午睡全被你打乱了！” “谢谢舅！”,1
宇宙物种归猫所有,归,猫,宇宙中有许多聪明的物种......它们都归猫所有。,0
主人发现猫枕上打盹,发现,猫,大约一个星期后，主停下来看猫，发现他在枕头上打盹。,0
猪圈胎教引热议,喂食,胎教,猪圈每次喂食都放音乐，一只怀孕的母猪总是躲在僻静处自我陶醉，主人来赶它。母猪道：“别吵，我正在胎教。”,1
男子路斩龙吻醒公主,斩棘,公主,我就是在路上斩棘杀龙游江过河攀上塔顶负责吻醒你的公主。,1
家长公园偶遇情侣亲吻，孩子误以为在偷吃,偷吃,好东西,我抱着三岁的女儿晚上在公园散步，林荫中有一对恋人在拥抱亲吻。 女儿看了一会儿，侧过头肯定地对我说：“妈妈，他们肯定在偷吃什么好东西。”,1
法官质问被告欺骗行为引发热议,欺骗,相信,法官：为什么你要欺骗那些相信你的人？ 被告：因为要想欺骗那些不相信我的人，根本办不到，法官先生。,1
律师职业揭秘：刑事律师实为冗余,称为,律师,哎哟!律师并不是那么糟糕。 。 。只是“刑事律师”是一种冗余。,1
上帝为幽默发明女人,想要,女人,上帝发明了女人，因为他想要一个好笑。,1
女人遗忘本可拥有男人的真相,忘记,男人,一个女人永远不会忘记她本来可以拥有的男人;和男人，他不能的女人。,1
孩子威胁父亲结婚否则自杀，实则投保五百万,自杀,保险,爸爸，如果你再不答应我和他结婚，他就自杀了。 他自杀跟我有什么关系？ 他在你的公司里投了五百万的人寿保险。,1
男女错误结合或将诞生宝宝,出现,宝宝,男女出现了错误，或许会诞生一个小宝宝。,1
高个客人尴尬时刻,令人,尴尬,对于高大的客人来说，这有时非常令人尴尬。,0
婚前婚后女人始终难懂,不了解,女人,男人有两次不了解女人：婚前和婚后。,1
作曲家耗10年创作催眠曲，因曲催眠自己,催,曲,作曲家：我足足花了10年工夫才写成这首催眠曲。 出版商：怎么会那么久？ 作曲家：因为它老催我入睡。,1
字母表将U和我合并,重新,字母,如果我可以重新安排字母表，我会把U和我放在一起。,1
斑马因文身被白马举报,告发,文身,斑马：非法文身，有碍马容，被白马告发。,1
痴呆患者能否读完挑战性文本,读完,痴呆,如果你是斗眼并且患有痴呆症，你能读完吗？,0
天堂需收据 防似国税局,做,好事,如果你做了一件好事，就得一张收据，以防天堂就像国税局。,1
学校三年轮流大扫除引发学生吐槽,大扫,扫除,今年高一大扫除，明年高二大扫除，后年高三大扫除。,1
新西兰人闯入房屋何时被发现,知道,房子,你怎么知道你的房子何时被新西兰人闯入？,0
狗称人是人，猫称人是神,认为,人,狗认为他们是人。猫认为他们是神。,1
夫妻因婚姻规则闹矛盾,嫁,魔鬼,妻子：我嫁给魔鬼也比嫁给你强。 丈夫：这不可能，因为近亲禁止结婚。,1
电视首现海狸厕所,见过,厕所,电视上见过的第一个厕所就是“留给海狸”。,0
电脑无钥匙引关注,没有,钥匙,但我的电脑上没有“任何钥匙”！,0
