headline,word1,word2,joke
工程师距离越远，故障消失越难,消失,距离,硬件故障消失的概率与计算机和客户工程师之间的距离成反比。
丈夫依书做饼却难吃引发家庭争论,烹调,饼,妻子：唉，你这饼做得真难吃。 丈夫：怪了，烹调书上说这种饼鲜美无比。
女侠突然对男士客气惹热议,变得,客气,惟有我例外，她对我客客气气，言听计从。后来人们不再称她作“女侠”，原因是她对身边的男士突然变得客气起来。 惟有我例外，时常受到她的“独”打。
南北生活习惯差异被调侃,打麻将,喝酒,南方性开放，北方打麻将，喝酒吹牛鼻，全国都一样
沙僧考数学被发现算盘作弊,伪装,珠珠,沙僧参加数学考试，监考老师盯着他脖子上的珠珠看了半天，冷笑道：“嘿嘿！把算盘伪装成这样了，休想作弊，快摘下来！”
网友调侃给台阶下却拒坐电梯,给,台阶,给你台阶下，你还真就不坐电梯了。
酒精无法保存尊严,保存,尊严,尊严是酒精中无法保存的一件事。
营业员调侃送貂皮大衣成意外之喜,给,大衣,营业员回答：“是给你妻子一个小小的意外之喜吗？” 我说：“是的，她一直想要一件貂皮大衣。”
回国发现包被翻却多了一张委屈条,翻,包,刚刚回国，到家之后发现包被翻了，可是什么都没少。 里面还多了一张条，条上写着：“这么好的包里面居然不装现金，真伤老子的感情啊。”
男生捡砖头搭讪女生反被当成小偷,拣起,砖头,看见前面一漂亮MM……苦无搭讪的办法。 于是……拣起一块砖头……上前…… 同学，这是你掉的吧？
男女友谊差异引热议,打,友谊,多么羡慕男生的友谊，天大的事儿，最多打一架，转身又变成好哥们儿了； 可女生的友谊，一步棋走错，就再也回不到从前了。
女人是好伴侣却不想拥有,不想,拥有,一个女人是一个很棒的伴侣，但我不想拥有一个。
孩子学母鸡分享食物,给,小虫,妈妈：小明，你吃糖为什么不分给小妹妹吃？你看老母鸡找到小虫，统统给小鸡吃，你该学习母鸡呀！ 小明：好吧。如果我找到小虫，也统统给小妹妹吃好了。
老人变老发际线转移至下巴,摸,胡子,孙子一手摸着爷爷的光头一手捋着爷爷的胡子说：“爷爷，人一变老，是不是头发都转移到下巴上了呢？”
混凝土也能翻墙？网友调侃现实困境,翻,墙,不要总说烂泥翻不上墙，因为即便你是混凝土，没人跟你翻，你还得在地上，有人翻了，不管泥再烂，还是会在墙上粘点模样的。
孩子笑谈包子是压扁的馅饼,压扁,馅饼,幼儿园放学后接儿子，问他中午吃的什么啊 ，他说是馅饼； 同车小朋友说不对是包子，儿子大声说，我是压扁了吃的。 偶明白了包子是馅饼前身。
九户被盗唯一户门上留字引热议,写,防盗门,一小区十户人家九户都装了防盗门，只有一户没装。 一天九户人家一起被窃，唯有没装防盗门的这户门上小偷写道：你放心我，我也放心你！
用数学方法处理感情,用,感恩,要用加法的方法去爱人，用减法的方法去怨恨，用乘法的方法去感恩。
老师称零分已是最小分,找不到,零分,生：老师，这次考试，我想我不该零分。 老师：是啊，不过我实在找不到比零分更小的数给你判分了！
网友吐槽‘我爱你’是谎言,撒,谎,别跟我说“我爱你”这个谎，因为以前我也对别人撒过。
日本学生穿衣服引发校内热议,看到,衣服,今天一群曰本人来我校参观——说实话，这是我第一次看到穿衣服的曰本人！
儿子参与撒旦仪式引争议,参与,撒旦,坏：你的儿子参与了撒旦。更糟糕的是：作为牺牲品。
打工8小时变老板，加班12小时反成打工者,工作,老板,通过忠实地每天工作8小时，你可以成为一名老板，每天工作12小时。
人品随状态波动，善良会变更好,变得,善良,当我很好的时候，我很善良。但是当我不好的时候，我会更好。
人类寻找生命意义的千年追问,寻找,意义,有没有想过为什么我们在这里？好吧，不要。聪明人先生，数千年来，人类一直试图找出生命的意义，我认为你不会成为获得它的人。
孩子模仿济公索要零花钱,施舍,香油钱,儿子最近《济公》看多了，那天没零花钱了， 就见他披着毛巾被走来， 两手一合向爸爸深施一礼：“施主给贫僧施舍点香油钱吧。” 瞬时笑抽了。
母亲问信内容，女儿答爱我,说,爱,母亲：“小王写给你的信，有厚厚一叠信笺，信上说些什么？” 女儿：“说他爱我。”
男子征婚被拒转遗产打款,征婚,遗产,LZ:“我五八年的，征个女友。” 回复：“恋爱就不必谈了，遗产直接打我卡上吧。”
老师禁止骗人却允许美丽谎言,说,美丽,要不是老师说不准骗人，你现在还是挺美丽的。
新衣最显瘦，旧衣全藏柜,好看,衣柜,衣服衣柜千千万，只有新买的最好看。
学生加分靠做附加题,做,附加题,老师说会做附加题的同学真的很加分。
男生问女友有男友？实则想当男友,问,男朋友,通常，当有男生问你，有没有男朋友？ 意思就是他想做你男朋友。 通常，当有女生问你，有没有女朋友时，她只是随便问问……
村民误称村主任职务兄引笑,叫,职务,小小碰见邻居赵五（村主任），总是亲亲热热叫一声：赵五兄。谁知赵五严厉地对小小说：以后见到我要叫职务。 第二天一早，小小碰上赵五，中规中矩地打招呼：早呀，职务兄。
男女优势对比引热议,常有,身材,女人，口才常有而身材不常有；男人，身材常有而钱财不常有。
妻子吐槽嫁错人，丈夫反称近亲禁婚,嫁,魔鬼,一对夫妇，妻子总是看不惯老公，她总是对老公说：嫁给你还不如嫁给魔鬼呢？ 而老公呢一脸无奈的说：法律规定近亲不能结婚的。
笔比剑更强大引热议,拿到,笔,如果笔比剑更强大，在决斗中我会让你拿到笔。
秃驴挑战师太引发江湖争端,抢,师太,秃驴，敢跟贫道抢师太？
人们宁愿死也不愿思考,宁愿,思考,大多数人宁愿死也不愿意思考; 事实上，他们这样做了。
弟弟车祸幸存，书包竟成救命垫,飞出,书包,我弟弟车祸飞出去七米毫发无伤，就是因为背后有大书包垫着，他说这是他第一次感到读书有用。 知识改变命运啊！
工程师社交目标大揭秘,设定,目标,在社交互动方面，工程师有不同的目标。
临时税成永久负担,临时,税,没有什么比临时税更永久的了。
教师批评学生手脏引发礼仪讨论,评论,手脏,教师对王振华道：你手太脏了，像什么样子？倘使我手上如此，到学校里来，你见了，以为怎样？ 王振华道：我深知礼节，决不敢评论他人。
父母吵架现场上演深情对白,抓,手,爹妈吵架。我妈越吵越气，挥拳欲击。老爹身手敏捷，一把抓住她胳膊。 我妈还在气头上：抓我手干什么！ 我爹淡定：执子之手，与子偕老。
都说别碰，人人都在碰,都,钱,说金钱是罪恶，都在捞；说美女是祸水，都想要；说高处不胜寒，都在爬；说烟酒伤身体，都不戒；说天堂最美好，都不去！
夫妻辩论喜新厌旧真相,怀念,旧物,夫：女人是喜新厌旧的动物。 妻：谁说的，我们也很念旧的。 夫：你怀念以前的什么东西？年龄吗？
成功阶梯引争议，男孩勿抬裙,抬起,裙子,爬上成功的阶梯，不要让男孩抬起你的裙子！
情侣爱意熔化对方钱包,熔化,钱,嘿，阿寥沙，你简直不能想象，我对你的爱有多炽热。 娜达莎，这我知道，你看，我所有的钱都被你火热的爱熔化了，都流到你的兜里去了。
女生分手却违约打赌事件,打赌,诚信,我经常和声称要和她男朋友在一起一辈子的女生打赌：那要是你和你男朋友分了，你就当我女朋友。 基本上每次都赌赢了，可是从来没有女生讲诚信过！
初中同桌名起暗藏玄机,叫,田鹏,我一个哥们，他初中的时候班里两个关系非常好的人同桌，一个叫田鹏，一个叫袁帅。
超频CPU成全球变暖元凶,超频,CPU,"SPP新闻台报导: 最新消息! 根据研究显示, 超频CPU 才是地球温度上升的主要元凶... ..."
住户投诉天窗被安装在自己位置上,放,天窗,我把天窗放在了我的位置。住在我上面的人都很生气。
演员提前鞠躬引热议,鞠躬,谢幕,我认识一个演员，他在戏没有演出之前，就到台前来向观念鞠躬谢幕。 他为什么这样做呢？ 以免戏演完了再去谢幕，台下就没有观众了。
生活可以将就也可以讲究,可以,生活,生活可以将就，生活也可以讲究！
病人自愈医生迟到被吐槽,好转,病人的,家人：医生，你来迟了一步！ 医生：怎么，病人死了吗？ 家人：病人的病自己好转起来了。
家长被孩子选为疗养院,选择,疗养院,对你的孩子好。他们有一天会选择你的疗养院。
情侣逛街脚酸被误以为踩到柠檬,踩到,柠檬,一对男女朋友一起去逛街。 女朋友：哎哟，脚好酸哦。 男朋友很紧张：怎么了？是不是踩到柠檬了？
老师雨中寻擦纸脸,找,脸,有一天外面下大雨，老师满脸雨水的走进教室，在讲桌前不知道找着什么东西，找了一会就问前排的同学:我擦纸的脸呢?
洗澡看电影听人说话谁在吃苦,享福,屁股,洗澡是屁股享福，脑袋吃苦;看电影是脑袋享福，屁股吃苦，听你讲话是脑袋、屁股都吃苦。
众人想救地球却不愿帮人,想,帮助,每个人都想拯救地球，但没有人愿意帮助你。
夫妻计划让母亲搬来共住,搬来,母亲,女：你想不想没结婚前，我们家有第三个人住。 男：好啊，太好了，亲爱的。 女：那好，我马上跟我妈打电话，让她搬过来。
新老师怒批学生睡觉，学生反讽不懂规矩,训,规矩,一次新来的老师看到A上课睡觉在全班同学面前训了A， 老师走后倍感颜面丢尽， 为了挽回尊严A不屑的来了句：“新来的不懂规矩，过两天就好了。”
丈夫每天过父亲节引发热议,照顾,父亲节,女：明年想不想过父亲节。 男：已经在过了。 女：你说什么？ 男：自从认识你，每天要照顾你，逗你开心，所以我每天过的都是父亲节。
女人更重脸蛋 than 头脑,知道,脸蛋,美丽的女人不是没有头脑而是她们知道脸蛋比头脑有用多了。
网友调侃脚踩脚实验,踩,脚,"够不着吧,左脚踩右脚上试试"
网吧小妹吐槽包夜男生无情调,问,包夜,网吧收银小妹的签名：开通宵的男生最讨厌了，冲上来就问：“小姐，包夜多少钱？” 一点情调都不讲的……
嚎叫解决不了问题，世界为何不是驴的天下,嚎叫,驴,嚎叫要能解决问题，那这个世界早就是驴的天下了！
冥币逼真引家庭误会,问,纸钱,这冥币做得太TM逼真了，连金丝儿都有。 回去之后刚进门他妈就问，你去祭祖怎么没带着这些纸钱儿？ 还有，家里刚取的那一万块钱哪去了？
邻居打麻将引发夫妻赌局传闻,打,麻将,老婆，我听见隔壁家又在打麻将呢！ 她们上次把你赢得那么惨，想不想捞回来？ 给你零钱，好好打，等你好消息啊！
幸福的真相：贫穷与财富都失败了,说出,幸福,很难说出带来幸福的是什么; 贫穷和财富都失败了。
丈夫称吃剩菜为打加时赛惹妻子不满,叫做,剩菜,足球运动员的妻子说：我最讨厌我丈夫把吃剩菜叫做打加时赛。
电视剧中间无广告引热议,插播,广告,看完了一集电视连续剧，中间居然没插播广告。
警惕无法检查的情况,卷入,情况,不要让自己卷入无法检查的人或情况。
父亲质疑女儿通话时长，女儿回应是拨错号,打,电话,父亲：你每次打电话都要打几个小时，这次怎么就讲了半个钟头，是谁打来的电话？ 女儿：没谁，有人拨错号了。
男子理发欲见本来面目,剃头,面目,一位披头散发、满脸胳腮胡、毛烘烘的男子在椅子上坐下来。 怎么理发？理发师问。 剃头，刮脸，我想看看自己的本来面目。
中医揭秘相思与暗恋的养生妙法,调情,烦恼,某老中医说：相思瞌睡少、暗恋心不老，调情解烦恼。
男子被孩子追问电话号码原因,拿起,电话,米勒先生的电话铃想起，他去接听。 一个小孩的声音在电话的另一头问：你的号码是不是694136？ 不是。米勒先生回答。 那你为什么拿起电话听筒？孩子问。
海军士兵被困军舰无法撤离,看到,世界,亲爱的艾比，我加入海军去看世界。我已经看到了它。现在，我怎么出去？
巴黎街头出现会行走的连衣裙,行走,连衣裙,在巴黎服装店外面：街头行走的连衣裙。
自行车购后无锁，商家回应非连锁店,没有,车锁,顾客新买的自行车没有锁，于是去质问商店。 顾客：我买的自行车为什么没有车锁？ 售货员：因为我们不是“连锁店”。
野营带女士男人藏有惊人意图,带,女士,在野营旅行中带女士的男人有一个意图。
教师进教室竟称欢迎打架,欢迎,打架,市优秀教师来学校讲课，同学们提前到达教室，因为抢占桌位而发生肢体冲突。 此时，老师走进教室，他戴着厚厚的近视镜，第一句话就是：欢迎打架（大家）！
小学生误用‘悬挂’造句惹笑,悬挂,天空,老师要小学生用悬挂一词造句。有一个小朋友写道：小鸟悬挂在天空里。
老爸QQ视频隐身玩梗被表哥发现,隐身,摄像头,一次老爸和表哥用QQ视频聊天。 开始视频的时候摄像头没有对着我爸。 表哥在那边喊：“我看不到你啊！” 我爸说：“我隐身了！”
学生反讽老师催眠课堂,催眠,睡觉,老师：“你到这儿不是睡觉来的！” 学生：“你到这儿不是催眠来的！”
孩子起名要响亮引热议,叫,万岁爷,一姓万的朋友说：以后给孩子起名一定得大气。 特别是在孩子上学点名的时候得叫的响亮！ 一圈朋友都陷入沉思。 忽一个声音答到：万岁爷！
用旧技术解新题,解决,问题,明天，用昨天的技术解决今天的问题。
图书馆最常被窃书籍破纪录,窃取,书籍,吉尼斯世界纪录保留了最常被公共图书馆窃取的书籍记录。
囚犯悔恨早开枪获释,开枪,出狱,如果我早点开枪，我现在就要出狱了。
班主任怒斥学生上课不听讲,怒斥,翻脸,我们的高中班主任又一次怒斥我们上课不好好听讲的时候说到：你们以后再这样，就别怪我翻脸不是人了！
螃蟹儿子被罚往前走,往前,走,螃蟹儿子：我今天在学校上课不专心，要受处分。 螃蟹妈妈：老师怎么罚你？ 螃蟹儿子：他要我一直往前走。
智商仪误报：头误入触发木头警告,伸进,木头,科学家研制出测智商仪器，某甲将头伸进， 仪器提示：请不要把木头放进来！ 某甲想想不服，再把头伸进， 仪器提示：这块木头好面熟！
学生建议煤气泄漏时抽根烟,抽,烟,初中上化学课。老师问：如果回到家发现家里煤气泄漏了，这时应该怎么做？ 这时班里弱弱地响起了一个平时比较贫的同学的声音：别乱，抽根烟，冷静一下。
物价上涨 人性贬值,涨价,人,什么都在涨价，就是人越来越贱。
完美攻击反遭伏击,攻击,伏击,如果你的攻击完美无缺，你就会陷入伏击状态。
领导视察训练场被晒黑反遭调侃,晒黑,同志,一领导到训练场看望下属训练，大家都列队欢迎，领导有所感动，大呼：同志们好！ 首长好！ 同志们辛苦了！ 为人民服务！ 同志们晒黑了！ 领导更黑！
女孩用说谎试探惩罚力度,说谎,糖果,玛丽，橱里的那些糖果是不是你吃了？母亲严厉地问她。 玛丽思索了一下，问妈妈道：说谎和说真话，哪样罚得重？
项目中小程序欲离职,想要,小程序,在每个大型项目中都是一个努力想要离开的小程序。
父母期待女儿变富婆，却没想到她选择读书,相信,读书,小时候，父母始终相信女大十八变，丑小鸭会变白天鹅，然后嫁个大款成富婆； 长大后某天，父亲很专注地看着我，然后语重心长地说：“孩子，你还是用功读书吧……”
妈妈用镜子解释女儿迟到原因,解释,镜子,经常迟到的珍妮，今天又迟到了。不过，珍妮的妈妈让她带了一张纸条给经理，上面写着：很抱歉，我女儿经常迟到。这是因为我家有三个妙龄女郎，而镜子却只有一面。
错误最终被忽略,忽略,错误,在您选择忽略它之前，错误不会成为错误。
妈妈误将围棋当成象棋,围,棋,儿子酷爱下象棋。 一天，妈妈找儿子回家吃饭，一看现场，围得水泄不通，这时，恍然大悟的说：“哦，原来这就是围棋啊！”
学生用算术反驳习字分数,写,算术,教师：你习字的分数太少了。我叫你写100张拿来，你只写了75张。 学生：可见我的算术更不行。
海洋飞机数量超天空,多于,飞机,海洋中的飞机多于天空中的飞机！
乌龟收到换号短信妈妈教它不回,回,短信,小乌龟对龟妈妈说：“妈妈，有人给我发换号短信了，我回不回？” 龟妈妈说：“孩子！保存下就行了，猪才回呢，是乌龟就不回。”
食神夺冠后吐槽吃货妻子,吞,鸡,某人参加食神比赛，狂吞了一只鸡、9个汉堡，一大块苹果馅饼，最后赢得了冠军。 下台前，他对别人说：“别告诉我老婆，要不我该吃不到午饭了。”
小狗喝水沟水，因无钱买可乐,喝水,可乐,妈妈，小狗为什么要喝水沟里的水？ 它渴了。 哦，我知道了，小狗没有钱去买可乐。
餐厅服务员吐槽酒后呕吐现象,喝多,口感,就问服务员哪个口感好点，服务员很彪悍的说：“其实都一样，喝多了都吐。”
谁都不爱时，可爱上任何人,爱上,任何人,当一个人谁都不爱的时候，他就可以爱上身边的任何一个人。
男子用相机闪光灯当路灯引邻误会,拍摄,闪电,有一次我家里的电源消失了，我不得不用相机上的闪光灯来看看我的路。我做了一个三明治，拍了五十张我脸上的照片。邻居们认为我家里有闪电。
爱迪生幽默回应退休问题,考虑,退休,爱迪生75岁时仍到实验室上班。有个记者问他：爱迪生先生，你打算什么时候退休呢？ 爱迪生装出一副十分为难的样子，说：糟糕，这个问题我活到现在还没来得及考虑呢！
高考落榜少年靠奖金买iPhone,攒,奖金,我们高中每学期给年级前十发一千元奖金。 一牛人，高一上学期到高三上学期都拿奖金，攒了五千，高三下学期买了个iPhone。 后来，高考落榜了……
过去应是精神跳板而非吊床,应该是,跳板,过去应该是一个精神跳板，而不是吊床。
社区突然消失，居民惊慌失措,停在,拖车区,我已经停在拖车区，当我回来时，整个社区都消失了。
华清浴池成读字趣事,读,池,"某次,经过一澡堂，名曰:华清浴池.某台湾人，习惯的从右向左读，恰为：池浴清华."
网友自嘲懒惰实为不愿自麻烦,不好意思,麻烦,我不是懒，我只是不好意思麻烦我自己。
积极思考无效,思考,积极,我会开始思考积极的，但我知道它不会起作用。
留学生误读房间号引发搞笑误会,学到,房间,有一个人从one学到zero，发音有点不标准，他以为他全部都学完了，之后他去外国，一个111号房间，他却说“汪汪汪”号房间在哪里？
致富计划普遍无效,有,计划,每个人都有一个致富的计划，这是无效的。
中年疲惫成社会普遍现象,看,疲惫,青年向前看，晚年回顾，中年看起来很疲惫。
父母无子，子女难存？,生过,孩子,如果你的父母从未生过孩子，你很可能也不会。
学校厕所清洁引争议，女厕被忽略,打扫,厕所,老师：明天检查团来，要搞好卫生，重点是厕所。 女生：女厕所呢？ 老师：不用打扫了，检查团里没有女同志。
学生误将绿茶当水饮用引热议,拿错,绿茶,宿舍离厕所甚远，晚上嘘嘘直接用统一绿茶，然后就拧紧放桌子上。 次日上午体育课中途回寝室，饥渴难耐状，然后……沃槽，拿错了!!!
员工装病老板装穷互斗职场新套路,装病,装穷,甲：“员工对付老板，必须综合运用装病、装勤快、装孙子、不懂装懂、装傻充楞等多种方法。” 乙：“老板对付员工，只需要一种方法：装穷！”
专家预测明日失败因今日已知,知道,预测,专家 - 明天知道为什么今天的预测失败了。
男人喜欢挑战，女人常提供,喜欢,挑战,男人喜欢挑战 - 女人通常会提供这种挑战。
学生监考掷骰子被问为何反复做题,掷,骰子,一位监考老师正纳闷的盯这一位学生在掷骰子，奇怪的是，那学生同一题掷好几次。便问那学生为什么？ 那学生无奈的回答说：难到不用验算吗？
婚姻被比作棺材，孩子如钉子,像,钉子,婚姻就像一个棺材，每个孩子都是另一个钉子。
人有三才：身材、家财、人才,拥有,人才,人有三“才”，身材、家财、人才。
小萝莉怒斥祖辈欺负自己,咆哮,媳妇,家有六岁小萝莉一枚，江湖人称雯姐。 一日和妈妈吵嘴，转身掐着腰对着爷爷奶奶咆哮:瞅瞅你俩，怎么给你儿找的媳妇，整天欺负我！！！
幼童坚持自己做事引发家长热议,自己,事情,妈妈从幼儿园接翠翠回家，手里拿了很多东西。 妈妈：“翠翠，帮妈妈拿小书包，妈妈好开门。” 翠翠：“老师说‘自己的事情自己做。”
耶稣若当经纪人，会走人前而非水上,行走,人们,如果耶稣长大成为一名经纪人，他会不会在水上行走而是走在人们面前？
父亲误记车号引发盗窃案,记着,车号,爸爸，有人把我们的汽车偷走了。 你认得那人的模样了吗？ 没留意看，但我把车号记住了！
父亲失业因煤太多引发家庭冷笑话,烧火,煤,冬天天冷了，孩子问妈妈：“天这么冷，我们为什么不烧火？” “因为你爸爸失业了，我们没钱买煤。” “爸爸为什么失业？” “因为煤太多了。”
职员如蚁，老板如蜂，办公日常揭秘,爬来,蜜蜂,职员像蚂蚁，整天爬来爬去忙碌个不停。 老板就像蜜蜂，整天飞来飞去的在外面忙碌个不停，一回到办公室，就时不时地蜇你一下。
奋斗的真正意义被重新定义,值得,奋斗,任何值得为之奋斗的东西都值得为之奋斗。
医生误诊：直肠科医生找到患者头,找到,头,我的直肠科医生刚刚打电话说他找到了我的头。
孩子幽默解释人类双耳功能,进,耳朵,爸爸：“人为什么有两只耳朵呢？” 儿子：“因为需要一个耳朵进，一个耳朵出，光进不出会装不下的。 ”
寝室调侃游戏鸟等级梗,算,鸟,一日，寝室谈论游戏中的各种鸟，如菜鸟，老鸟，神鸟等。 我游戏水平不高，顺嘴一问：我算什么鸟？ 他不假思索的说：你不是个好鸟。
小鸟困于笼中飞不高,飞,笼子,我是一个小小鸟怎么飞也飞不高，因为笼子就那么高!
父亲为供孩念书改玩1块麻将,改玩,麻将,我爸说过的最让我感动的一句话： “孩子，好好学习吧，爸以前玩麻将都玩儿10块的，现在为了供你念书，改玩儿1块的了。”
丈夫买鸟被妻子吐槽再娶太急,再娶,画眉,太太非常喜爱新买来的一对画眉鸟，那天清扫鸟笼，一不小心，雌的一只飞走了。 先生安慰她：我明天再买一只好了。 她马上反对说：妻子刚刚离开，丈夫怎能立刻再娶！
尸体穿寿衣百年被评节约标兵,穿,寿衣,尸体一件寿衣穿两百年被评节约标兵。
铅笔编号之谜：为何还是#2？,为何,铅笔,如果＃2铅笔如此受欢迎，它为什么还是＃2？
学生填表自称体育特长为翻墙,翻,墙,今天学校让填表，有个“体育特长”一项。我深吸一口气，写下了“翻墙”二字。
老人误认伦敦属英国引发笑话,跑,伦敦,我说：“在英国！”　　我奶奶听后一惊：“啊！伦敦咋跑英国了！！！”
大脑上班时间竟从醒来开始,开始,办公室,你的大脑是一个身体器官，它在你醒来的那一刻开始工作，直到你进入办公室才停止。
男子用人格担保引热议,担保,人格,怕人家不相信：我敢用人格担保。
女性任务：与男性打交道,打交道,男性,作为一名女性是一项非常艰巨的任务，因为它主要涉及与男性打交道。
盲人最爱跳伞引热议,描述,跳伞,一个盲人正在描述他最喜欢的运动，跳伞。
公司夜晚开会如夜总会,开会,夜总会,公司都快成夜总会了，夜晚总是要开会。
小腹肥厚源于长期馋食,馋,小腹,冰冻三尺非一日之寒，小腹三层非一日之馋。
网友调侃数脑细胞成新潮流,数,脑细胞,你为什么不找个安静的地方自个儿数数脑细胞儿去？
老公建议带肥料袋逛街惹笑,指着,肥料袋,老婆准备上街，在研究带哪个包逛街又漂亮又能装东西。 老公指着窗外：“那边好像有个肥料袋，带那个吧，可以装好多东西，又个性，还没人跟你撞包。”
美女与魅力的真相曝光,注意到,魅力,美丽与魅力完全不同，美女是女人注意到的，魅力是女人注意到你的时候。
银行劫匪竟被称‘人妖’引发热议,站,人妖,某日，某银行闯人一不速之客：抢劫，男人站左边，女人站右边！ 一银行工作人员忍不住说道：那你为什么站中间 有一顾客随之轻声说到：人妖呗……
网友问穿搭遭神回复：皇帝新装,穿,衣服,你说我穿什么样的衣服好看？神回复：皇帝的新装。
员工获无薪年假引发热议,放,假期,太好了，老板今天说，由于我工作出色，过年给我放20天无薪假期。
小学生被嘲后反问父母不说话,嘲笑,父母,在小学一二年级，男女生说话，会被同学嘲弄。 一天小明和女生说话，被同学小刚嘲笑。 这时小李在旁边对小刚说：“你爸和你妈在家不说话啊？” 小刚哑口无言
网友分享不开心事引发共鸣,说出,开心,你有什么不开心的事？说出来让大家开心一下
员工尿频被质疑肾功能,尿,肾,尿的不能太快太远太高太猛，别让领导觉得他的肾不如你的肾强壮。
时间机器骑行危险：肘部外伸变化石,伸出,化石,当你在未来的时间机器中骑行时，不要将肘部伸出窗外，否则它会变成化石。
癞蛤蟆称雌者最美,称,雌蛤蟆,你问雄癞蛤蟆什么最美，他的回答一定是雌癞蛤蟆。不用怀疑他的欣赏水平，只是所处的环境不同。
争吵时男女差异像步枪机关枪,区别,步枪,争吵的时候，男人和女人的区别就像是步枪和机关枪的区别。
秃顶男人的智慧之梳,成为,梳子,一旦他秃顶，智慧就是一个男人的梳子。
犹太人拉小提琴？真相藏在钢琴逃亡中,挟着,钢琴,有个女人问小提琴家艾萨克·斯特恩何以有那么多的犹太人拉小提琴，他回答说：要知道，要是想在腋下挟着一架平台钢琴逃出欧洲，那可真不容易啊。
男子被拳击事件引发眼镜使用争议,击打,眼镜,切勿用眼镜击打男子，用拳头击打他。
儿子考60分被父亲嫌弃，次日改称先生,考,先生,一天，儿子回到家说：爸，今天考试60分。 爸：下次再考低了，别叫我爸。 第二天，儿：对不起，先生。
‘回床率’成网络热词,回,床,“回床率”，好词儿。
压制谣言似敲钟,压制,钟声,试图压制谣言就像试图敲响钟声一样。
吵架后男方示好被拒，沉默反成冷战导火索,滚一边,嘻皮笑脸,吵架后，男人主动示好，女人说：“滚一边去，别嘻皮笑脸的。” 吵架后，男人默不作声，女人说：“有能耐永远别理我。”
普通话变方言引同事调侃,说起,方言,一位老家的亲戚来城里，下火车后给我打了个电话，平时我说普通话，接这个电话时我说起了家乡话，这时一同事笑道：这中央台换地方台了！
厌氧细菌因懒惰被称最不健康,懒得,运动,最不健康的细菌是厌氧细菌，因为它们懒得做有氧运动。
画家把马画成狗,变成,狗,如果你画的马看起来更像是一只狗，那就把它变成一只狗。
诗人朗诵诡异诗句引网友热议,朗诵,卧梅,请大声朗诵：卧梅又闻花，卧枝伤恨低。邀闻卧石碎，卧湿达春绿。
飞行员误报着陆引笑料，777紧急起飞,请求,737,深夜，波音737飞行员回家，咚咚敲门。 妻：谁？ 飞行员幽默地说：波音737请求着陆！ 突然屋里一男子喊：收到，777马上起飞，给你腾出停机位！
婚姻需办许可证像动物被困,购买,许可证,婚姻是被困动物必须购买许可证的唯一运动。
迪士尼乐园竟是鼠标陷阱？,操作,陷阱,迪士尼乐园不是一个由鼠标操作的人员陷阱吗？
熟女穿搭引热议，裙子好揪,挑,裙子,要挑熟女，裙子好揪。
生活简化：呼吸是唯一必需,呼吸,生活,你唯一需要做的就是呼吸; 其他一切都只是可选的。
颜值不等于遥不可及，反而海纳百川,海纳,百川,"别以为我长的帅就认为我遥不可及高不可攀,其实我是海纳百川啊."
乘客吐槽飞机上厕所尴尬经历,蹲,厕所,飞机上一旁座的小朋友从厕所回来说：今天我算是蹲在他们头上拉了回。
孩子反讽父母惩戒方式,跪,搓衣板,三岁多的儿子，一日犯了错误，妈要他跪搓衣板。 儿子跪在上面嘴里自言自语：等我有了宝宝也要他跪搓衣板。
清单上竟藏陷阱标志,寻找,标志,你读了整个清单，拼命寻找一个不适合你的标志。
外宾误听中文名引发尴尬对话,搭话,方片,某日刘洪涛遇到外宾，上前搭话曰：I am Hong Tao Liu. 外宾曰：我他妈还是方片七呢！
说事情变坏或成先知,说,先知,如果你一直说事情会变坏，你就有可能成为先知。
学生反讽：上学为防止老师失业,防止,失业,老师问学生：同学们来学校的目的是为了什么？ 学生回答：为了不使更多的老师失业！
物价暴涨致月经用品短缺,涨,卫生巾,某女掏出一包卫生巾仍桌上，说了一句让我震惊的话：物价再他娘的涨，这月经都来不起了。
生命状态与存在感的悖论,活着,死了,"有的人活着,她已经死了。有的人活着,他早该死了！"
赞美比基尼引发争议,赞美,分层,有人赞美你的分层外观 - 你穿着比基尼。
糖果营销新套路：一人独享永不忘,发现,糖果,我就是你要的那颗糖果，有一天你会发现，除了我，再也没有别人，就算你再拆开多少糖果纸，永远也不会忘我。
教师改姓引发学生晕倒,改,姓,一名教师来到班里对同学们说：我姓李，以后你们就叫我王老师好了！ 全班晕倒一大片……
店员揭秘‘万里香’命名趣事,叫,香,店员：你不知道它的名字就叫‘万里香，吗？要隔开一万里才香呀。
孕妇疑被问错孩子归属,确定,怀孕,当她发现自己怀孕时，金发女郎说了什么？“你确定它是我的吗？”
网友调侃把对话扔油锅榨油,榨,油,我把你的话放到油锅里可以榨出油来！
教授落魄当环卫工当选最美,当选,环卫工,王教授被指控性侵女学生名誉扫地后二次创业竟当选最美环卫工人。
小孩立志考第十,考,第十,儿子4岁时，大爷家的小哥哥刚上一年级。一次，小哥哥高兴地告诉大家：“期末考试我考了第九名。” 儿子不服气地说：“才考第九啊，我上学非考第十不可！”
宴席上要吃得爽,吃,宴席,"我知道,天下无不散宴席,可是,至少,宴席上我要吃得爽!"
